Maintaining Region,Owning Region,County,Municipality,Device Number,Main Route,Intersecting Route,Location,Device Type,Device Purpose,Device Priority,Maintenance Responsibility,Latitude (UTM Y [Meters]),Longitude (UTM X [Meters])
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-135,NY 910D,Rapp Rd,WASHINGTON AVE EXT (910D) @ RAPP RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728305.7,593973.58
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-112.1,NY 912G,US 020,DUNN BR EB ON Ramp (Rte 912G) @ S. PEARL (US 20),3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722356.27,602113.06
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-112,NY 912G,South Pearl St,DUNN BR WB OFF Ramp (Rte 912G) @ S. PEARL,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722410.35,602127.76
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-160,NY 912G,South Mal Art,GRAND ST (912G) @ PHILLIPS ST (also 159),3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722414.02,602037.02
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-2B,NY 912G,South Pearl St,DUNN BR. WB OFF ramp (Rte 912G) @ S. PEARL & S. MALL,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722068.53,602394.28
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-159,NY 912G,South Mal Art,GRAND ST (912G) @ SO MALL ART ramp (also160),FLASHER,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722456.3,602072.56
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-253,South Pearl St,Hudson Ave,SOUTH PEARL @ HUDSON AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4722471.92,602145.05
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-126,US 009,NY 032,US Rte 9 (Clinton Ave) @ Rte 32 (Pearl St & North Pearl St),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4723183.54,602453.78
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-210,US 009,Orange St,US Rte 9 (Broadway) @ ORANGE ST,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4723040.03,602528.9
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-125,US 009,Northern Blvd,US Rte 9 (Loudon Rd) @ LARK_DOVE SB ramp,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4725605.53,602639.73
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-125.1,US 009,Northern Blvd,US Rte 9 (Loudon Rd) @ LARK_DOVE NB ramp,3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4725544.39,602591.42
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-127,US 009,Broadway,US Rte 9 (Clinton Ave) & I-787 @ BROADWAY,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4723130.31,602549.78
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-41B,US 009,I 090,Rte 9 (Northern Blvd) @ LARK-DOVE / I-Rte 90 gore,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4724692.45,602457.32
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-1N,US 009,Dunn Br Nav Lights,Rte 9&20 @ DUNN BR. NAVIGATION LIGHT,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721941.77,602660.54
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-116,US 009W,McCarty Ave,US Rte 9W (Southern Blvd) @ MCCARTY AVE & PARKING LOT,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721046.63,600367.78
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-2A,US 009W,T-way Exit 23,US Rte 9W (Southern Blvd) @ T-WAY EXIT 23 EXIT ramp,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4720730.84,600404.17
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-1A,US 009W,I 787,US Rte 9W (Southern Blvd) @  I-787 & HOFFMAN AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721108.94,600214.35
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-168,US 009W,T-Way Athority Bld,US Rte 9W (Southern Blvd) @ THRUWAY AUTHORITY BLD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4720425.47,600325.87
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-2.1A,US 009W,T-way Exit 23,US Rte 9W (Southern Blvd) @ T- WAY EXIT 23 ENTRANCE Ramp,3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4720805.4,600421.96
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-262 LU5,Washington Ave Ext,Fuller Rd,Rte I90 @ Fuller Road UNDER BRIDGE LIGHTING LU5 (CENTER WW) 250W (also LU1),STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727497.87,595812.11
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-262 LU7,Washington Ave Ext,Fuller Rd,Rte I90 @ Fuller Road UNDER BRIDGE LIGHTING LU7 (NW) 250W (also LU1),STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727497.89,595812.25
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-262 LU8,Washington Ave Ext,Fuller Rd,Rte I90 @ Fuller Road UNDER BRIDGE LIGHTING LU8 (NWW) 250W (also LU1),STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727497.94,595812.14
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-262 LU9,Washington Ave Ext,Fuller Rd,Rte I90 @ Fuller Road UNDER BRIDGE LIGHTING LU9 (NE) 250W (also LU1),STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727497.88,595812.38
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-262 LU2,Washington Ave Ext,Fuller Rd,Rte I90 @ Fuller Road UNDER BRIDGE LIGHTING LU2 (SWW) 250W (also LU1),STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727497.81,595812.09
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-262 LU1,Washington Ave Ext,Fuller Rd,Rte I90 @ Fuller Road UNDER BRIDGE LIGHTING LU1 (SW) 250W,STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727497.77,595812.19
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-262 LU6,Washington Ave Ext,Fuller Rd,Rte I90 @ Fuller Road UNDER BRIDGE LIGHTING LU6 (CENTER E) 250W (also LU1),STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727497.8,595812.35
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-262 LU3,Washington Ave Ext,Fuller Rd,Rte I90 @ Fuller Road UNDER BRIDGE LIGHTING LU3 (SE) 250W (also LU1),STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727497.73,595812.31
01-Albany,01-Albany,ALBANY,ALBANY-CITY,01-11-262 LU4,Washington Ave Ext,Fuller Rd,Rte I90 @ Fuller Road UNDER BRIDGE LIGHTING LU4 (CENTER W) 250W (also LU1),STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727497.83,595812.23
01-Albany,01-Albany,ALBANY,BERNE-TOWN,01-11-46B,NY 443,Bern Knox Westerlo School,Rte 443 @ BERN KNOX WESTERLO SSL25 BEACONS,BEACON,STANDARD,SELECTIVE RESPONSE 3,PRIVATE ( PERMIT ),4719463.58,569763.89
01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-84,NY 032,NY 335,Rte 32 (Delmar By-Pass) EB @ RTE 335 (Elesmer Ave) (also 83),3-COLOR SIGNAL,NO CONTROLLER,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4717939.13,596867.5
01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-138,NY 032,Elm Ave,Rte 32 (Delmar By-Pass) @ ELM AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4717684.17,594950.36
01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-180,NY 032,Murray Ave,Rte 32 (Delmar By-Pass) @ MURRAY AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4717676.5,595596.59
01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-83,NY 032,NY 335,Rte 32 (Delmar By-Pass) WB @ RTE 335 (Elesmer Ave),3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4717962.98,596857.56
01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-218,NY 032,Kenwood Ave,Rte 32 (Delmar By-Pass)  @ KENWOOD AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4718888.15,598920.79
01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-220,NY 032,Bender Ln,Rte 32 (Delmar By-Pass) EB @ BENDER LN,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4718515.14,597615.09
01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-110,NY 085,New Scotland Ave,Rte 85 @ NEW SCOTLAND AVE & MAHAR RD,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721924.38,594209.85
01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-28,NY 085,Kenwood Ave,Rte 85 @ KENWOOD AVE,3-COLOR SIGNAL,STANDARD,FULL RESPONSE 1,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4720260.4,593014.97
01-Albany,01-Albany,ALBANY,BETHLEHEM-TOWN,01-11-7B,NY 085,Slingerlands FH,Rte 85 @ SLINGERLANDS FH,BEACON,SIGN,SELECTIVE RESPONSE 3,LOCAL PUBLIC BODY ( PERMIT ),4720263.46,593021.66
